,Coefficient
zipcode_11650,3.17192051469877
zipcode_93700,3.132196605800837
zipcode_86630,3.118800700755167
zipcode_70466,2.8071511574647747
zipcode_30723,2.797726002360003
zipcode_22690,2.788791279171436
zipcode_48052,2.78463024556324
grade_D,0.4935303571835782
grade_C,0.45983510017018675
grade_E,0.41321281676633836
grade_F,0.2708017618853265
grade_B,0.2521816460101533
term,0.21820249011223275
dti,0.18809651656610607
grade_G,0.16042998727508892
open_acc,0.14545175087577342
home_ownership_RENT,0.12166766756528838
installment,0.11890042893787339
revol_util,0.09727411363282704
verification_status_Source Verified,0.0899023210004914
purpose,0.0653108644444292
verification_status_Verified,0.04289056773933437
home_ownership_OWN,0.040955329336936075
state,0.03446170756888806
pub_rec,0.03280781203395944
days_from_first_loan,0.019849101602765134
application_type_JOINT,-0.044638034830096554
emp_length_yrs,-0.05687389676213903
revol_bal,-0.08529049895285615
total_acc,-0.11875541093251674
annual_inc,-0.1966224978606502
