,Coefficient
zipcode_11650,0.9546334166495624
zipcode_93700,0.9430250772402663
zipcode_86630,0.937823645801005
zipcode_70466,0.7451396146552753
zipcode_48052,0.7428911146579688
zipcode_22690,0.7416349172895192
zipcode_30723,0.7390092097171342
grade_D,0.2980946390127987
grade_E,0.25708997243960524
grade_C,0.2512219978636141
term,0.22829887622173867
dti,0.18299414877006365
grade_F,0.1665448042930381
open_acc,0.13747967719814772
revol_util,0.13429672531832854
installment,0.11638428900842022
grade_G,0.10381075089980216
purpose,0.0956174033821403
home_ownership_RENT,0.09340032771163412
verification_status_Source Verified,0.08340704859904442
grade_B,0.07644988386346663
verification_status_Verified,0.046309898964228026
pub_rec,0.03346121149768233
home_ownership_OWN,0.03069449850781963
state,0.030171365919298514
days_from_first_loan,-0.02372744402144026
application_type_JOINT,-0.027053061515349624
emp_length_yrs,-0.04166787376594398
revol_bal,-0.08752285728637639
total_acc,-0.11286048418779776
annual_inc,-0.2212302383398878
