,Coefficient
zipcode_11650,0.837248972878611
zipcode_93700,0.8271239483918283
zipcode_86630,0.8222887061866875
zipcode_70466,0.6135785248834676
zipcode_48052,0.6120513839362864
zipcode_22690,0.6081427128738741
zipcode_30723,0.6071892505717493
grade_D,0.26697353395145274
grade_E,0.2385545208844345
term,0.2111043758302928
grade_C,0.21084515877783946
dti,0.16622120956978867
grade_F,0.15825589458596576
revol_util,0.10846912588945626
home_ownership_RENT,0.10397001462121339
open_acc,0.10235764550534839
grade_G,0.0996609932670956
installment,0.08870705788091894
verification_status_Source Verified,0.07437994409616762
purpose,0.06682981812334125
verification_status_Verified,0.043321941832881114
home_ownership_OWN,0.03764144305304144
grade_B,0.03577986464508514
pub_rec,0.032109585556446794
state,0.027594986485109357
days_from_first_loan,-0.0028941618899208515
application_type_JOINT,-0.03139933280919805
emp_length_yrs,-0.04763592354377971
revol_bal,-0.0670994641018459
total_acc,-0.07934907593297517
annual_inc,-0.16175814678913283
