,Coefficient
zipcode_11650,3.3661688786970467
zipcode_70466,3.3330542676538952
zipcode_93700,3.3239019960581695
zipcode_30723,3.322744612792518
zipcode_22690,3.315950961666802
zipcode_86630,3.3085763618096187
zipcode_48052,3.3058676269811076
grade_D,0.48781787626546425
grade_C,0.46349576852217417
grade_E,0.40271004194882487
grade_B,0.2671664792524965
grade_F,0.2603846645048277
term,0.23795378460535693
dti,0.19660686363977073
open_acc,0.18948575601814574
grade_G,0.15431452730239997
installment,0.14790311133653458
revol_util,0.13304612765716112
purpose,0.09966923371990578
home_ownership_RENT,0.0984177325192504
verification_status_Source Verified,0.09302231298086265
state,0.037963041330120746
verification_status_Verified,0.037933649412927775
pub_rec,0.03493096666848244
home_ownership_OWN,0.032194377992537805
days_from_first_loan,-0.007437591508023647
application_type_JOINT,-0.033629728673236124
emp_length_yrs,-0.04980811768589108
revol_bal,-0.10480524070597497
total_acc,-0.1564650444409881
annual_inc,-0.26241454143478254
